id,date,store_nbr,family,sales,onpromotion,is_open
3,2013-01-01,1,BEVERAGES,0.0,0,False
1785,2013-01-02,1,BEVERAGES,1091.0,0,True
3567,2013-01-03,1,BEVERAGES,919.0,0,True
5349,2013-01-04,1,BEVERAGES,953.0,0,True
7131,2013-01-05,1,BEVERAGES,1160.0,0,True
8913,2013-01-06,1,BEVERAGES,407.0,0,True
10695,2013-01-07,1,BEVERAGES,1158.0,0,True
12477,2013-01-08,1,BEVERAGES,1029.0,0,True
14259,2013-01-09,1,BEVERAGES,1186.0,0,True
16041,2013-01-10,1,BEVERAGES,847.0,0,True
17823,2013-01-11,1,BEVERAGES,1033.0,0,True
19605,2013-01-12,1,BEVERAGES,1143.0,0,True
21387,2013-01-13,1,BEVERAGES,572.0,0,True
23169,2013-01-14,1,BEVERAGES,1178.0,0,True
24951,2013-01-15,1,BEVERAGES,1149.0,0,True
26733,2013-01-16,1,BEVERAGES,1043.0,0,True
28515,2013-01-17,1,BEVERAGES,898.0,0,True
30297,2013-01-18,1,BEVERAGES,1130.0,0,True
32079,2013-01-19,1,BEVERAGES,1280.0,0,True
33861,2013-01-20,1,BEVERAGES,453.0,0,True
35643,2013-01-21,1,BEVERAGES,1104.0,0,True
37425,2013-01-22,1,BEVERAGES,1037.0,0,True
39207,2013-01-23,1,BEVERAGES,1052.0,0,True
40989,2013-01-24,1,BEVERAGES,846.0,0,True
42771,2013-01-25,1,BEVERAGES,1103.0,0,True
44553,2013-01-26,1,BEVERAGES,965.0,0,True
46335,2013-01-27,1,BEVERAGES,417.0,0,True
48117,2013-01-28,1,BEVERAGES,772.0,0,True
49899,2013-01-29,1,BEVERAGES,932.0,0,True
51681,2013-01-30,1,BEVERAGES,1031.0,0,True
53463,2013-01-31,1,BEVERAGES,889.0,0,True
55245,2013-02-01,1,BEVERAGES,941.0,0,True
57027,2013-02-02,1,BEVERAGES,1005.0,0,True
58809,2013-02-03,1,BEVERAGES,442.0,0,True
60591,2013-02-04,1,BEVERAGES,775.0,0,True
62373,2013-02-05,1,BEVERAGES,794.0,0,True
64155,2013-02-06,1,BEVERAGES,923.0,0,True
65937,2013-02-07,1,BEVERAGES,794.0,0,True
67719,2013-02-08,1,BEVERAGES,949.0,0,True
69501,2013-02-09,1,BEVERAGES,783.0,0,True
71283,2013-02-10,1,BEVERAGES,185.0,0,True
73065,2013-02-11,1,BEVERAGES,172.0,0,True
74847,2013-02-12,1,BEVERAGES,280.0,0,True
76629,2013-02-13,1,BEVERAGES,823.0,0,True
